timestamp,url,method,status_code,robots_allowed,response_time_ms,notes
2026-07-12T21:13:05.733689,http://127.0.0.1:8123/,GET,0,False,0.0,Bloqueado por robots.txt
2026-07-12T21:13:05.733980,http://127.0.0.1:8123/,GET-JS,0,False,0.0,Bloqueado por robots.txt (reverificación Playwright)
2026-07-12T21:13:05.734320,http://127.0.0.1:8123/,GET,0,False,0.0,Bloqueado por robots.txt
2026-07-12T21:13:05.734619,http://127.0.0.1:8123/,GET-JS,0,False,0.0,Bloqueado por robots.txt (reverificación Playwright)
2026-07-12T21:13:05.734864,http://127.0.0.1:8123/,GET,0,False,0.0,Bloqueado por robots.txt
2026-07-12T21:13:05.735055,http://127.0.0.1:8123/,GET-JS,0,False,0.0,Bloqueado por robots.txt (reverificación Playwright)
2026-07-12T21:13:05.735246,http://127.0.0.1:8123/,GET,0,False,0.0,Bloqueado por robots.txt
2026-07-12T21:13:05.735454,http://127.0.0.1:8123/,GET-JS,0,False,0.0,Bloqueado por robots.txt (reverificación Playwright)
2026-07-12T21:13:05.735634,http://127.0.0.1:8123/,GET,0,False,0.0,Bloqueado por robots.txt
2026-07-12T21:13:05.735731,http://127.0.0.1:8123/,GET-JS,0,False,0.0,Bloqueado por robots.txt (reverificación Playwright)
